Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,domain,Realistic_Salary_INR,Fresher_Salary_INR,Top_Skills,Job_Type,Work_Mode,Industry_Demand_2025,Learning_Difficulty,Skill_Gap_Index,Degree_Needed,AI_Assist_Boost,Stress_Level,WLB_Score,Future_Category
Security Guard,10990.0,6,Master's,0.18,1.28,0.85,High,0.45,0.1,0.46,0.33,0.14,0.65,0.06,0.72,0.94,0.0,general,149581.0,33984.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,83,5,50,PhD,0.47,9,7,Declining
Research Scientist,32005.0,14,PhD,0.62,1.11,0.05,Low,0.02,0.52,0.4,0.05,0.97,0.23,0.09,0.62,0.38,0.98,data,343992.0,81470.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,89,5,57,None,0.46,2,4,Risky
Construction Worker,35091.0,0,High School,0.86,1.18,0.81,High,0.01,0.94,0.56,0.39,0.02,0.23,0.24,0.68,0.61,0.83,construction,149284.0,29947.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Remote,89,3,25,Diploma,0.52,2,4,Risky
Software Engineer,32768.0,8,PhD,0.39,0.68,0.6,Medium,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33,software,285739.0,76653.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Remote,58,4,85,Bachelor,0.58,5,9,Risky
Financial Analyst,16896.0,2,High School,0.52,1.46,0.64,Medium,0.75,0.54,0.59,0.97,0.61,0.28,0.3,0.17,0.02,0.42,general,170253.0,31455.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,52,3,46,Diploma,0.15,2,8,Declining
AI Engineer,22222.0,5,Master's,0.29,0.51,0.1,Low,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37,software,224300.0,108218.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,89,5,37,Bachelor,0.74,9,9,High Growth
Mechanic,25770.0,7,PhD,0.67,1.09,0.41,Medium,0.56,0.38,0.97,0.85,0.72,0.24,0.26,0.04,0.71,0.11,construction,120005.0,55433.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,51,6,56,None,0.12,5,8,Declining
Teacher,12821.0,2,High School,0.2,1.4,0.17,Low,0.56,0.7,0.14,0.6,0.54,0.2,0.94,0.6,0.69,0.88,education,120443.0,46516.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Remote,96,8,48,PhD,0.22,9,7,Risky
HR Specialist,33414.0,7,Master's,0.3,0.61,0.48,Medium,0.22,0.42,0.88,0.32,0.12,0.36,0.91,0.27,0.65,0.0,general,189995.0,43096.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Onsite,70,7,29,None,0.32,4,3,High Growth
Customer Support,20403.0,0,High School,0.01,1.01,0.8,High,0.22,0.12,0.34,0.94,0.32,0.52,0.7,0.36,0.97,0.96,general,178459.0,44617.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Hybrid,58,3,94,Bachelor,0.69,5,5,Declining
UX Researcher,19856.0,0,High School,0.5,0.8,0.41,Medium,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99,general,187971.0,40090.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,85,7,24,Bachelor,0.69,3,3,Declining
Financial Analyst,28189.0,2,High School,0.67,1.26,0.4,Medium,0.73,0.37,0.63,0.63,0.54,0.09,0.84,0.32,0.19,0.04,general,151722.0,66668.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,78,5,88,None,0.9,9,8,High Growth
Lawyer,19155.0,0,High School,0.68,0.52,0.5,Medium,0.23,0.65,0.17,0.69,0.39,0.94,0.14,0.34,0.11,0.92,general,162591.0,50828.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,70,7,82,Bachelor,0.55,7,4,Risky
Data Scientist,27835.0,2,High School,0.26,1.16,0.63,Medium,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73,data,548847.0,57742.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,68,3,25,None,0.1,3,4,Risky
Research Scientist,23206.0,5,Master's,0.89,1.28,0.21,Low,0.08,0.16,0.9,0.61,0.01,0.1,0.66,0.01,0.16,0.55,data,391928.0,112185.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Remote,90,8,27,Bachelor,0.21,5,3,High Growth
Graphic Designer,7888.0,1,High School,0.65,0.72,0.58,Medium,0.24,0.33,0.75,0.65,0.85,0.66,0.57,0.09,0.37,0.27,general,150615.0,39413.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,84,6,13,Master,0.16,4,8,High Growth
Teacher,8854.0,4,Bachelor's,0.97,0.89,0.27,Low,0.63,0.79,0.5,0.58,0.49,0.2,0.72,0.28,0.02,0.65,education,119076.0,51705.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,95,4,87,Diploma,0.16,4,7,Stable
Teacher,24899.0,2,Bachelor's,0.94,1.45,0.28,Low,0.37,0.02,0.93,0.43,0.97,0.96,0.85,0.29,0.39,0.85,education,69074.0,35595.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,87,6,36,None,0.31,8,8,Stable
Retail Worker,35523.0,6,PhD,0.17,1.06,0.93,High,0.7,0.57,0.1,0.62,0.99,0.14,0.52,0.88,0.74,0.7,data,560186.0,86944.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,75,3,27,Diploma,0.8,7,6,High Growth
Doctor,25936.0,6,Master's,0.55,0.8,0.15,Low,0.26,0.61,0.08,0.01,0.63,0.19,0.07,0.4,0.05,0.89,health,83599.0,43245.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Remote,99,7,20,Master,0.71,8,9,High Growth
AI Engineer,10416.0,1,High School,0.09,1.08,0.06,Low,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52,software,288111.0,114070.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,75,4,20,None,0.31,7,8,Declining
HR Specialist,11882.0,0,Bachelor's,0.22,1.12,0.33,Medium,0.05,0.53,0.54,0.64,0.73,0.98,0.52,0.32,0.8,0.27,general,203084.0,53050.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,72,5,50,PhD,0.77,8,9,Declining
